"","NRMSE_MF","PFC_MF","NRMSE_MICE","PFC_MICE","id"
"1",0.122365887992086,0.401234567901235,0.15196075489433,0.425925925925926,1
"2",0.0658066346538186,0.416149068322981,0.114882485708403,0.490683229813665,2
"3",0.090600569648277,0.5,0.138399240754191,0.469512195121951,3
"4",0.0774424547685262,0.43312101910828,0.0873955324460858,0.420382165605096,4
"5",0.0643082382155964,0.452229299363057,0.108630446647128,0.382165605095541,5
"6",0.112405740538528,0.37125748502994,0.15730935868808,0.395209580838323,6
"7",0.0654597297069013,0.447852760736196,0.100157062715953,0.411042944785276,7
"8",0.0859138160893333,0.392857142857143,0.135047932693145,0.410714285714286,8
"9",0.0708505455329151,0.458064516129032,0.106611961057827,0.393548387096774,9
"10",0.0754334386337595,0.406976744186047,0.097548605416407,0.401162790697674,10
"11",0.058869089792687,0.418300653594771,0.0984071462724642,0.457516339869281,11
"12",0.0759815550582723,0.403726708074534,0.0845484238849706,0.428571428571429,12
"13",0.0864573704467371,0.4,0.101031101878269,0.36875,13
"14",0.0583437902791585,0.462025316455696,0.0886705779309295,0.455696202531646,14
"15",0.0951813407634191,0.409638554216867,0.13215591683359,0.403614457831325,15
"16",0.0614098862964751,0.416107382550336,0.131840199455867,0.442953020134228,16
"17",0.0661493138328713,0.393548387096774,0.0811543134616411,0.458064516129032,17
"18",0.121907722889828,0.359281437125749,0.117977558255717,0.37125748502994,18
"19",0.130078234699961,0.417177914110429,0.132353332288304,0.45398773006135,19
"20",0.117454590132205,0.377483443708609,0.122912640370922,0.370860927152318,20
"21",0.0966613635944767,0.436363636363636,0.108321864487602,0.418181818181818,21
"22",0.0845775248809601,0.445086705202312,0.114642801826386,0.439306358381503,22
"23",0.0701147925898349,0.4,0.142435706459694,0.44375,23
"24",0.0969012841261057,0.404907975460123,0.104949945098004,0.429447852760736,24
"25",0.0761077708052893,0.43448275862069,0.132242880928293,0.462068965517241,25
"26",0.0475404630987909,0.450867052023121,0.0804207567571622,0.433526011560694,26
"27",0.0663043488916037,0.390532544378698,0.0732890506064227,0.355029585798817,27
"28",0.0540913392140624,0.414473684210526,0.110656044050662,0.480263157894737,28
"29",0.068876518986944,0.440993788819876,0.136036600907174,0.372670807453416,29
"30",0.0748424413270128,0.426829268292683,0.117773469050819,0.414634146341463,30
"31",0.0798425004705339,0.459627329192547,0.126072556494347,0.496894409937888,31
"32",0.0748964417540061,0.363095238095238,0.115643520211245,0.398809523809524,32
"33",0.103424852469837,0.437086092715232,0.14262428092658,0.364238410596026,33
"34",0.0706453359605817,0.434782608695652,0.123579445882337,0.478260869565217,34
"35",0.0845735737652314,0.417721518987342,0.140224994740818,0.455696202531646,35
"36",0.0554726632623884,0.373417721518987,0.116447512825321,0.417721518987342,36
"37",0.0575758424202763,0.439024390243902,0.113502847641503,0.408536585365854,37
"38",0.0711587834297171,0.422818791946309,0.0995981583749832,0.469798657718121,38
"39",0.0696436101486968,0.376712328767123,0.100586597105788,0.445205479452055,39
"40",0.141456104068306,0.427672955974843,0.199256536268164,0.364779874213836,40
"41",0.0833727427576602,0.341614906832298,0.105572272811201,0.372670807453416,41
"42",0.0678028370442751,0.395061728395062,0.0993221234599463,0.364197530864198,42
"43",0.0698713147498517,0.414285714285714,0.114739678255716,0.4,43
"44",0.123313822529545,0.413173652694611,0.151436840274927,0.425149700598802,44
"45",0.0892576624991428,0.422619047619048,0.0958154909981355,0.43452380952381,45
"46",0.0765081702038299,0.391566265060241,0.0852865386470128,0.409638554216867,46
"47",0.130251114932738,0.40251572327044,0.126872835727651,0.465408805031447,47
"48",0.0960528494962081,0.403508771929825,0.160350090241199,0.461988304093567,48
"49",0.089081846720819,0.431506849315068,0.0976594906583913,0.520547945205479,49
"50",0.113075657030975,0.389261744966443,0.10994511960699,0.389261744966443,50
